Latitude,Longitude,island,name,address,zipcode,type,units,year_open,hawaiistgrdsownerhotelsarea
739752.571,2314733.514,Maui,Marriott's Maui Ocean Club,100 Nohea Kai Drive,96761,TIMESHARE,311,1982,Lahaina
739752.571,2314733.514,Maui,Marriott's Maui Ocean Club Sequel,100 Nohea Kai Drive,96761,TIMESHARE,148,1982,Lahaina
452562.1193,2419439.469,Kauai,Marriott's Waiohai Beach Club,2249 Poipu Road,96756,TIMESHARE,238,2003,Koloa
826271.2745,2205299.635,Hawaii,Waikoloa Beach Marriott Resort & Spa,69-275 Waikoloa Beach Drive,96738,HOTEL,295,1981,Waikoloa
826271.2745,2205299.635,Hawaii,Marriott's Waikoloa Ocean Club,69-275 Waikoloa Beach Drive,96738,TIMESHARE,112,1981,Waikoloa
451706.4662,2457465.533,Kauai,Westin Princeville Ocean Resort Villas,3838 Wyllie Road,96722,TIMESHARE,358,2008,Princeville
740117.1383,2316812.791,Maui,Westin Kaanapali Ocean Resort Villas,6 Kai Ala Drive,96761,TIMESHARE,1021,2005,Lahaina
740245.6735,2317552.496,Maui,Westin Nanea Ocean Villas,45 Kai Malina Pkwy,96761,TIMESHARE,390,2017,Lahaina
620595.1438,2353845.13,Oahu,Hilton Grand Waikikian Vacation Suites,2005 Kalia Road,96815,TIMESHARE,331,2001,Honolulu
621343.5748,2353592.619,Oahu,Hokulani Waikiki by Hilton Grand Vacations,2181 Kalakaua Avenue,96815,TIMESHARE,143,2013,Honolulu
620595.1438,2353845.13,Oahu,Hilton Hawaiian Village Kalia Tower,2005 Kalia Road,96815,TIMESHARE,72,2001,Honolulu
465654.5956,2438588.588,Kauai,Hale Awapuhi,366 Papaloa Road,96746,INDIVIDUAL VACATION UNIT,7,1989,Kapaa
465708.4226,2438618.355,Kauai,Kapaa Sands,380 Papaloa Road,96746,INDIVIDUAL VACATION UNIT,23,1968,Kapaa
816963.7229,2171077.344,Hawaii,Kona Nalu,76-6212 Alii Drive,96740,INDIVIDUAL VACATION UNIT,10,1980,Kailua-Kona
816584.6953,2171605.671,Hawaii,Kona Riviera,75-6124 Alii Drive,96740,INDIVIDUAL VACATION UNIT,9,1970,Kailua-Kona
916546.3125,2186791.165,Hawaii,MaunaLoa Shores,1875 Kalanianaole Avenue,96720,INDIVIDUAL VACATION UNIT,45,,Hilo
451704.041,2457458.201,Kauai,Puamana,3880 Wyllie Road,96722,INDIVIDUAL VACATION UNIT,43,1985,Princeville
816228.0798,2172448.427,Hawaii,Sea Village,75-6002 Alii Drive,96740,TIMESHARE,119,1975,Kailua-Kona
827422.1614,2206782.037,Hawaii,Golf Villas at Mauna Lani,68-1122 Na Ala Hele Road,96743,INDIVIDUAL VACATION UNIT,72,2007,Kohala Coast
816228.0798,2172448.427,Hawaii,Sea Village,75-6002 Alii Drive,96740,INDIVIDUAL VACATION UNIT,119,1975,Kailua-Kona
837302.3659,2115049.495,Hawaii,A Beautiful Edge of the World B&B,PO Box 888,96704,BED & BREAKFAST,3,1999,Captain Cook
765219.7077,2298423.584,Maui,A Piece Of Paradise,201 Hoopili Akau St,96753,BED & BREAKFAST,2,2015,Kihei
779524.2982,2313887.834,Maui,Aloha Hookipa Bayview Cottage,1250 Kauhikoa Road,96708,BED & BREAKFAST,1,2001,Haiku
767996.5959,2290246.099,Maui,Auntie Kali's Cottage,530 Kumulani Dr 5k,96753,BED & BREAKFAST,1,2013,Kihei
631422.0822,2366162.426,Oahu,Finn's Bed & Breakfast,226 Pouli Road,96734,BED & BREAKFAST,2,1985,Kailua
761802.4601,2313250.542,Maui,Hale Anuhea Kai,679 Pio Dr 4O,96793,BED & BREAKFAST,2,2019,Wailuku
778994.8153,2298949.99,Maui,Halekalani,505 Kamehameiki Road,96790,BED & BREAKFAST,1,2015,Kula
779109.062,2301122.515,Maui,Hale Kiana,116 Mano Dr,96790,BED & BREAKFAST,2,2016,Kula
765157.0876,2297847.21,Maui,Hibiscus Hideaway,11 Waikalani Hema Pl,96753,BED & BREAKFAST,4,,Kihei
776131.613,2311849.409,Maui,Lumeria Maui,1813 Baldwin Avenue,96768,OTHER,24,,Makawao
829200.3897,2223211.482,Hawaii,Makai Hale Bed & Breakfast,59-411 Pupu Place,96743,BED & BREAKFAST,2,1991,Kamuela
765759.1111,2294281.266,Maui,Maui Garden Cottage,117 Auhana Road,96753,BED & BREAKFAST,1,2010,Kihei
782487.5688,2315289.069,Maui,Maui Tradewinds,4320 Une Place,96708,BED & BREAKFAST,3,1998,Haiku
780819.181,2315803.232,Maui,Peahi Point B&B,300 Hahana Rd 7g,96708,BED & BREAKFAST,6,,Haiku
740991.6592,2312592.736,Maui,The Guest House,1620 Ainakea Road,96761,BED & BREAKFAST,5,1985,Lahaina
782400.5385,2315868.188,Maui,Tranquil Palms B&B,4356 Opana Pl,96708,BED & BREAKFAST,4,,Haiku
767514.3005,2291207.955,Maui,Victorian Villa,452 Kupulau Dr,96753,BED & BREAKFAST,1,2016,Kihei
767738.744,2290406.181,Maui,Rainbow Deluxe,460 Hoala Dr,96753,BED & BREAKFAST,1,2011,Kihei
620595.1438,2353845.13,Oahu,Hilton Hawaiian Village Lagoon Tower,2005 Kalia Road,96815,TIMESHARE,236,2001,Honolulu
828111.5093,2206286.56,Hawaii,Kings' Land by Hilton Grand Vacations,69-699 Waikoloa Beach Drive,96738,TIMESHARE,435,2008,Waikoloa
827002.161,2205949.657,Hawaii,Kohala Suites by Hilton Grand Vacations,69-550 Waikoloa Beach Drive,96738,TIMESHARE,120,2005,Waikoloa
826007.5589,2206129.089,Hawaii,The Bay Club at Waikoloa Beach Resort,69-450 Waikoloa Beach Drive,96738,TIMESHARE,168,1991,Waikoloa
620803.1969,2353869.579,Oahu,The Grand Islander by Hilton Grand Vacations,2023 Kalia Road,96815,TIMESHARE,418,2017,Honolulu
825993.5146,2206148.34,Hawaii,Ocean Tower by Hilton Grand Vacations,69-425 Waikoloa Beach Drive,96738,TIMESHARE,72,1988,Waikoloa
825993.5146,2206148.34,Hawaii,Hilton Waikoloa Village,69-425 Waikoloa Beach Drive,96738,HOTEL,1241,1988,Waikoloa
621326.6142,2353393.667,Oahu,Waikiki Parc Hotel,2233 Helumoa Road,96815,HOTEL,288,1987,Honolulu
620331.9853,2354198.635,Oahu,Prince Waikiki,100 Holomoana Street,96815,HOTEL,563,1990,Honolulu
832519.0443,2214100.47,Hawaii,The Westin Hapuna Beach Resort,62-100 Kaunaoa Beach Drive,96743,HOTEL,249,1994,Kamuela
832237.1432,2215507.546,Hawaii,"Mauna Kea Beach Hotel, Autograph Collection",62-100 Mauna Kea Beach Drive,96743,HOTEL,252,1965,Kamuela
581632.9565,2373514.013,Oahu,Hawaiian Princess at Makaha Beach,84-1021 Lahilahi Street,96792,TIMESHARE,32,1980,Waianae
741182.1989,2320434.48,Maui,Kahana Falls Resorts,4260 Lower Honoapiilani Road,96761,TIMESHARE,130,1992,Lahaina
